company_number,company_name,kind,severity,due,days,money_gbp,detail
10275222,"SCHOOL LANE FARM LIMITED",accounts_overdue,critical,2026-07-30,-31,375,"Отчётность просрочена на 31 дн. (срок был 2026-07-30)"
12646918,"THE DOGS DANGLEEZ LIMITED",confirmation_overdue,critical,2026-06-17,-74,0,"Confirmation statement просрочен на 74 дн. — основание для исключения из реестра"
12646918,"THE DOGS DANGLEEZ LIMITED",idv_overdue,critical,2026-06-17,-74,0,"EVANS, Clifford: персональный срок верификации личности истёк 74 дн. назад — подача документов заблокирована, действия директора без верификации образуют состав преступления по ECCTA"
12646918,"THE DOGS DANGLEEZ LIMITED",idv_overdue,critical,2026-06-17,-74,0,"EVANS, Tracey Anne: персональный срок верификации личности истёк 74 дн. назад — подача документов заблокирована, действия директора без верификации образуют состав преступления по ECCTA"
14316042,"LAUREL'S WOOD COMMUNITY INTEREST COMPANY",idv_pending,critical,2026-09-06,7,0,"BYRNE, Ceara Noelle: личность не верифицирована, остаётся 7 дн."
14316042,"LAUREL'S WOOD COMMUNITY INTEREST COMPANY",idv_pending,critical,2026-09-06,7,0,"GLEAVES, Roberta Rose: личность не верифицирована, остаётся 7 дн."
14316042,"LAUREL'S WOOD COMMUNITY INTEREST COMPANY",idv_pending,critical,2026-09-06,7,0,"HUNTER, Christopher Blakeway: личность не верифицирована, остаётся 7 дн."
14316042,"LAUREL'S WOOD COMMUNITY INTEREST COMPANY",idv_pending,critical,2026-09-06,7,0,"MCCOWAN, Leon: личность не верифицирована, остаётся 7 дн."
15122588,"ADAM ORTHOPAEDICS LTD",idv_pending,critical,2026-09-20,21,0,"ADAM, John Rami: личность не верифицирована, остаётся 21 дн."
15122588,"ADAM ORTHOPAEDICS LTD",idv_pending,critical,2026-09-20,21,0,"ADAM, Michelle Jennifer: личность не верифицирована, остаётся 21 дн."
14316042,"LAUREL'S WOOD COMMUNITY INTEREST COMPANY",confirmation_due_soon,warning,2026-09-06,7,0,"Confirmation statement должен быть подан через 7 дн."
15122588,"ADAM ORTHOPAEDICS LTD",confirmation_due_soon,warning,2026-09-20,21,0,"Confirmation statement должен быть подан через 21 дн."
08576990,"FAMILY PSYCHOLOGY SERVICES LIMITED",idv_pending,warning,2026-10-06,37,0,"CRAIG, Jaime Stewart, Dr: личность не верифицирована, остаётся 37 дн."
14400888,"SALISBURY GALLBLADDER SURGERY LTD",idv_pending,warning,2026-10-18,49,0,"BOND, Amanda Kirsty: личность не верифицирована, остаётся 49 дн."
14400888,"SALISBURY GALLBLADDER SURGERY LTD",idv_pending,warning,2026-10-18,49,0,"PULLIN, Mark Jeffrey: личность не верифицирована, остаётся 49 дн."
06672972,"HOMZE INVESTMENTS LIMITED",idv_pending,warning,2026-11-15,77,0,"PURCELL, Eleni Sophia: личность не верифицирована, остаётся 77 дн."
06672972,"HOMZE INVESTMENTS LIMITED",idv_pending,warning,2026-11-15,77,0,"PURCELL, Jonathan David: личность не верифицирована, остаётся 77 дн."
07621048,"HOMZE DEVELOPMENTS LIMITED",idv_pending,warning,2026-11-18,80,0,"PURCELL, Jonathan David: личность не верифицирована, остаётся 80 дн."
06279183,"HOMZE LIMITED",idv_pending,warning,2026-11-18,80,0,"PURCELL, Eleni Sophia: личность не верифицирована, остаётся 80 дн."
04256926,"J & M T PROPERTIES LIMITED",idv_pending,warning,2026-11-18,80,0,"LAWRENCE, Marion Teresa: личность не верифицирована, остаётся 80 дн."
06672972,"HOMZE INVESTMENTS LIMITED",idv_pending,warning,2026-11-18,80,0,"PURCELL, Eleni Sophia: личность не верифицирована, остаётся 80 дн."
05409460,"THOMAS TROTTER LIMITED",idv_pending,warning,2026-11-18,80,0,"PARRINGTON, Patricia Anne: личность не верифицирована, остаётся 80 дн."
10646306,"THE SOUTHPORT PROPERTY COMPANY LIMITED",idv_pending,warning,2026-11-18,80,0,"PURCELL, Jonathan David: личность не верифицирована, остаётся 80 дн."
16862165,"SPARE PROPERTY LTD",idv_pending,warning,2026-11-30,92,0,"GOULDEN, James Matthew: личность не верифицирована, остаётся 92 дн."
16862165,"SPARE PROPERTY LTD",idv_pending,warning,2026-11-30,92,0,"GOULDEN, Sarah Lynette: личность не верифицирована, остаётся 92 дн."
16862165,"SPARE PROPERTY LTD",idv_pending,warning,2026-11-30,92,0,"QUIGLEY, Daniel: личность не верифицирована, остаётся 92 дн."
